S.NO.,CODE,Noman,PART NUMBER,PARTICULAR,SECTION,C.H. Ø (mm) & POSITION,S.H DETAIL (mm),Sub-Cateogry,Brand,SPECIAL Category,POSITION,Type,Leaf Type Code,Vehicle Maker,vehicle code,Sub_seg_desc,Sub_seg_code,Lens in inches,DBP ,MRP,ML - DBP(Rs),Length (Inches),Image,2P - DBP(Rs),Length (Inches),Image,3 - DBP(Rs),Length (Inches),Image,4 - DBP(Rs),Length (Inches),Image,5 - DBP(Rs),Length (Inches),Image,6 - DBP(Rs),Length (Inches),Image,7 - DBP(Rs),Length (Inches),Image,8 - DBP(Rs),Length (Inches),Image,9 - DBP(Rs),Length (Inches),Image,10 - DBP(Rs),Length (Inches),Image,11 - DBP(Rs),Length (Inches),Image,12 - DBP(Rs),Length (Inches),Image,13 - DBP(Rs),Length (Inches),Image,14 - DBP(Rs),Length (Inches),Image,AA - DBP(Rs),Length (Inches),Image,AB - DBP(Rs),Length (Inches),Image,3A - DBP(Rs),Length (Inches),Image,4A - DBP(Rs),Length (Inches),Image,L1W - DBP(Rs),Length (Inches),Image,L2W - DBP(Rs),Length (Inches),Image,ASSY - DBP(Rs),,,15/L,Length (Inches),Image,16/L,Length (Inches),Image,17/L,Length (Inches),Image,18/L,Length (Inches),Image,19/L,Length (Inches),Image,2/L,Length (Inches),Image,20/L,Length (Inches),Image,HELPER SPL,Length (Inches),Image,PP,Length (Inches),Image,SPL LEAF,Length (Inches),Image
31,006110,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,10/L,5,TATA,24,LCV,3,19.53,210,320,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,210,19.52755906,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
32,006111,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,11/L,5,TATA,24,LCV,3,15.00,170,260,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,170,15,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
33,006112,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,12/L,5,TATA,24,LCV,3,10.43,130,200,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,130,10.43307087,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
34,006131,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,AUX A,3,TATA,24,LCV,3,49.80,540,820,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,540,49.80314961,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
35,006132,0061,2640 3210 0114, 608 TRUCK (FR),70X7,12.5 OFFSET,5/L ONE SIDE & 8/L  BOTH SIDE Ø 10.3,TATA,TATA,,1,AUX B,3,TATA,24,LCV,3,49.41,530,800,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,530,49.40944882,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
36,006200,0062,2640 3240 0118, 608 TRUCK (RR),0X0,12.5   CENTRE,"4/L, 6/L  BOTH SIDE Ø 10.5",TATA,TATA,,2,ASSY.,2,TATA,24,LCV,3,0.00,6690,10140,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,6690,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
37,006201,0062,2640 3240 0118, 608 TRUCK (RR),70X11,12.5   CENTRE,"4/L, 6/L  BOTH SIDE Ø 10.5",TATA,TATA,,2,M/L,5,TATA,24,LCV,3,68.50,1170,1770,1170,68.50393701,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
38,006202,0062,2640 3240 0118, 608 TRUCK (RR),70X11,12.5   CENTRE,"4/L, 6/L  BOTH SIDE Ø 10.5",TATA,TATA,,2,2/L,5,TATA,24,LCV,3,66.93,1130,1710,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,1130,66.92913386,,0,0,,0,0,,0,0,,0,0,
39,006203,0062,2640 3240 0118, 608 TRUCK (RR),70X11,12.5   CENTRE,"4/L, 6/L  BOTH SIDE Ø 10.5",TATA,TATA,,2,3/L,5,TATA,24,LCV,3,59.69,1020,1550,0,0,,0,0,,1020,59.68503937,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
40,006204,0062,2640 3240 0118, 608 TRUCK (RR),70X11,12.5   CENTRE,"4/L, 6/L  BOTH SIDE Ø 10.5",TATA,TATA,,2,4/L,5,TATA,24,LCV,3,50.08,850,1290,0,0,,0,0,,0,0,,850,50.07874016,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
41,006205,0062,2640 3240 0118, 608 TRUCK (RR),70X11,12.5   CENTRE,"4/L, 6/L  BOTH SIDE Ø 10.5",TATA,TATA,,2,5/L,5,TATA,24,LCV,3,41.06,700,1060,0,0,,0,0,,0,0,,0,0,,700,41.06299213,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
