name,item_code,variant,item_description,category,subcategory,segment,subsegment,leaftype,leaftype,leaf_desc,leafposition,vehicle,vechiclemodel,drawing_refno,mrp1,mrp2,mrp3,mrp4,mrp5,dbp1,dbp2,dbp3,dbp4,dbp5,status,priority,substitute,weight,length,section,ch_detail,sh_detail,item_weight,suitableFor,image
M&M PICKUP RR 029726 THICK 9.53 AUX-B2 - ST. CUT-SPL LEAF,64242,AMI,M&M PICKUP RR 029726 THICK 9.53 AUX-B2 - ST. CUT-SPL LEAF,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,AUX-B2,Rear,MAHINDRA,PICKUP,29726,1060,780,0,0,0,1060,780,0,0,0,1,1,,5.283,45.28,,,,,,
TATA MAGIC FR PARA 2829 3210 16 2/L,295102,AMI,TATA MAGIC FR PARA 2829 3210 16 2/L,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,LP,LOOSE LEAF,ASSEMBLY,2/L,Front,TATA,MAGIC,2.82932E+11,1060,780,0,0,0,1060,780,0,0,0,1,1,,3.54,31.69,,,,,,
LL F 4517310 FV 4932 WITH NEPTU AA,305131,AMI,LL F 4517310 FV 4932 WITH NEPTU AA,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,ASSEMBLY,AUX A,Front,ASHOK LEYLAND,OTHERS,F4517310,3420,2510,0,0,0,3420,2510,0,0,0,1,1,,18.594,65.55,,,,,,
LEY2516 C.H 16.0MM (R) NEW 3/L,242203N,AMI,LEY2516 C.H 16.0MM (R) NEW 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,3/L,Rear,ASHOK LEYLAND,2516,F4508210,1920,1410,0,0,0,1920,1410,0,0,0,1,2,,11.054,46.26,,,,,,
LEY2516 C.H(R)16.5MM M/L,242201,AMI,LEY2516 C.H(R)16.5MM M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,M/L,Rear,ASHOK LEYLAND,2516,F4508210,2910,2130,0,0,0,2910,2130,0,0,0,1,1,,15.24,63.07,,,,,,
TATA 2515 EX(80X16) R AUX-A,251231,AMI,TATA 2515 EX(80X16) R AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,AUXILLIARY,ASSEMBLY,AUX-A,Rear,TATA,2515,2.78232E+11,2420,1780,0,0,0,2420,1780,0,0,0,1,1,,12.5,52.99,,,,,,
TATA 2515 LPT (R) M/L,258201,AMI,TATA 2515 LPT (R) M/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,HCV & MCV,LOOSE LEAF,ASSEMBLY,M/L,Rear,TATA,2515,278232400114/278232400112,2770,2030,0,0,0,2770,2030,0,0,0,1,1,,14.73,0,,,,,,
TATA 2515 PARABOLIC Front 2/L,273102,AMI,TATA 2515 PARABOLIC Front 2/L,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,HP,LOOSE LEAF,ASSEMBLY,2/L,Front,TATA,2515,2.78232E+11,4860,3560,0,0,0,4860,3560,0,0,0,1,1,,18.47,51.57,,,,,,
FML 206 (R) 3/L,177203,AMI,FML 206 (R) 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,3/L,Rear,FML,206,6863200206,1080,790,0,0,0,1080,790,0,0,0,1,2,,5.97,53.15,,,,,,
FML 206 (R) 4/L,177204,AMI,FML 206 (R) 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,4/L,Rear,FML,206,6863200206,910,670,0,0,0,910,670,0,0,0,1,1,,5.04,44.88,,,,,,
FML 206 RR BUS AUX A,177231,AMI,FML 206 RR BUS AUX A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,ASSEMBLY,AUX A,Rear,FML,206,6863200206,1260,920,0,0,0,1260,920,0,0,0,1,2,,6.257,56,,,,,,
FML 206 TRAX MOD(R) 3/L,188203,AMI,FML 206 TRAX MOD(R) 3/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,3/L,Rear,FML,206,8543200506,770,570,0,0,0,770,570,0,0,0,1,1,,3.5,44.69,,,,,,
FML 206 TRAX MOD(R) 4/L,188204,AMI,FML 206 TRAX MOD(R) 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,4/L,Rear,FML,206,8543200506,670,490,0,0,0,670,490,0,0,0,1,1,,2.96,37.8,,,,,,
FML 206 TRAX MOD(R) 5/L,188205,AMI,FML 206 TRAX MOD(R) 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,5/L,Rear,FML,206,8543200506,550,400,0,0,0,550,400,0,0,0,1,2,,2.45,30.91,,,,,,
FML 206 TRAX MOD(R) 6/L,188206,AMI,FML 206 TRAX MOD(R) 6/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,6/L,Rear,FML,206,8543200506,410,300,0,0,0,410,300,0,0,0,1,3,,1.86,24.02,,,,,,
FML 206 TRAX MOD(R) AUX-A,188231,AMI,FML 206 TRAX MOD(R) AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,ASSEMBLY,AUX-A,Rear,FML,206,8543200506,800,590,0,0,0,800,590,0,0,0,1,1,,3.936,50.59,,,,,,
TATA MAGIC FR PARA 2829 3210 16 1WR,295121,AMI,TATA MAGIC FR PARA 2829 3210 16 1WR,LEAF SPRING,NON BS6 VEHICLE,PARABOLIC,LP,LOOSE LEAF,ASSEMBLY,1WR,Front,TATA,MAGIC,2.82932E+11,1090,800,0,0,0,1090,800,0,0,0,1,1,,3.98,35.59,,,,,,
MAHINDRA BOLERO MAXI TRUCK PLUS 2/L HALFBEND BOTH SIDE,527102H,AMI,MAHINDRA BOLERO MAXI TRUCK PLUS 2/L HALFBEND BOTH SIDE,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,2/L HALFBEND BOTH SIDE,Front,MAHINDRA,BOLERO,F4500414,580,420,0,0,0,580,420,0,0,0,1,1,,2.2,40.31,,,,,,
TATA LCV TR-407 (F) 4/L,14104,AMI,TATA LCV TR-407 (F) 4/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,4/L,Front,TATA,407,2.65132E+11,760,560,0,0,0,760,560,0,0,0,1,2,,3.242,37.01,,,,,,
TATA LCV TR-407 (F) AUX-A,14131,AMI,TATA LCV TR-407 (F) AUX-A,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,ASSEMBLY,AUX-A,Front,TATA,407,2.65132E+11,890,650,0,0,0,890,650,0,0,0,1,2,,4.384,48.43,,,,,,
TATA LCV TR-407 (F) AUX-B,14132,AMI,TATA LCV TR-407 (F) AUX-B,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,AUXILLIARY,ASSEMBLY,AUX-B,Front,TATA,407,2.65132E+11,820,600,0,0,0,820,600,0,0,0,1,2,,4.064,44.88,,,,,,
2651 3241 0109,16201,AMI,2651 3241 0109,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,M/L,Rear,TATA,407,265132410108/265132410121,1910,1400,0,0,0,1910,1400,0,0,0,1,2,,10,63.78,,,,,,
TATA  407 TURBO (RR) 2651 3241 0121 5/L 2651 3241 0121 5/L,16205,AMI,TATA  407 TURBO (RR) 2651 3241 0121 5/L 2651 3241 0121 5/L,LEAF SPRING,NON BS6 VEHICLE,CONVENTIONAL,LCV,LOOSE LEAF,ASSEMBLY,5/L,Rear,TATA,407,265132410108/265132410121,1200,880,0,0,0,1200,880,0,0,0,1,3,,5.82,37.52,,,,,,
